Date,Month,Day,Month name,Quarter,Year,Day No.
3/19/2010 0:00,3,Friday,March,Q1,2010,19
3/20/2010 0:00,3,Saturday,March,Q1,2010,20
3/21/2010 0:00,3,Sunday,March,Q1,2010,21
3/22/2010 0:00,3,Monday,March,Q1,2010,22
3/23/2010 0:00,3,Tuesday,March,Q1,2010,23
3/24/2010 0:00,3,Wednesday,March,Q1,2010,24
3/25/2010 0:00,3,Thursday,March,Q1,2010,25
3/26/2010 0:00,3,Friday,March,Q1,2010,26
3/27/2010 0:00,3,Saturday,March,Q1,2010,27
3/28/2010 0:00,3,Sunday,March,Q1,2010,28
3/29/2010 0:00,3,Monday,March,Q1,2010,29
3/30/2010 0:00,3,Tuesday,March,Q1,2010,30
3/31/2010 0:00,3,Wednesday,March,Q1,2010,31
4/1/2010 0:00,4,Thursday,April,Q2,2010,1
4/2/2010 0:00,4,Friday,April,Q2,2010,2
4/3/2010 0:00,4,Saturday,April,Q2,2010,3
4/4/2010 0:00,4,Sunday,April,Q2,2010,4
4/5/2010 0:00,4,Monday,April,Q2,2010,5
4/6/2010 0:00,4,Tuesday,April,Q2,2010,6
4/7/2010 0:00,4,Wednesday,April,Q2,2010,7
4/8/2010 0:00,4,Thursday,April,Q2,2010,8
4/9/2010 0:00,4,Friday,April,Q2,2010,9
4/10/2010 0:00,4,Saturday,April,Q2,2010,10
4/11/2010 0:00,4,Sunday,April,Q2,2010,11
4/12/2010 0:00,4,Monday,April,Q2,2010,12
4/13/2010 0:00,4,Tuesday,April,Q2,2010,13
4/14/2010 0:00,4,Wednesday,April,Q2,2010,14
4/15/2010 0:00,4,Thursday,April,Q2,2010,15
4/16/2010 0:00,4,Friday,April,Q2,2010,16
4/17/2010 0:00,4,Saturday,April,Q2,2010,17
4/18/2010 0:00,4,Sunday,April,Q2,2010,18
4/19/2010 0:00,4,Monday,April,Q2,2010,19
4/20/2010 0:00,4,Tuesday,April,Q2,2010,20
4/21/2010 0:00,4,Wednesday,April,Q2,2010,21
4/22/2010 0:00,4,Thursday,April,Q2,2010,22
